x,y,vx,vy,paddle.y
1265,33.39401526009246,-15,2.6831946070117896,244
1250,36.07720986710425,-15,2.6831946070117896,244
1235,38.760404474116044,-15,2.6831946070117896,244
1220,41.443599081127836,-15,2.6831946070117896,244
1205,44.12679368813963,-15,2.6831946070117896,244
1190,46.80998829515142,-15,2.6831946070117896,244
1175,49.49318290216321,-15,2.6831946070117896,244
1160,52.176377509175005,-15,2.6831946070117896,244
1145,54.8595721161868,-15,2.6831946070117896,244
1130,57.54276672319859,-15,2.6831946070117896,244
1115,60.22596133021038,-15,2.6831946070117896,244
1100,62.909155937222174,-15,2.6831946070117896,244
1085,65.59235054423397,-15,2.6831946070117896,244
1070,68.27554515124575,-15,2.6831946070117896,244
1055,70.95873975825754,-15,2.6831946070117896,244
1040,73.64193436526932,-15,2.6831946070117896,244
1025,76.3251289722811,-15,2.6831946070117896,244
1010,79.00832357929289,-15,2.6831946070117896,244
995,81.69151818630468,-15,2.6831946070117896,244
980,84.37471279331646,-15,2.6831946070117896,244
965,87.05790740032825,-15,2.6831946070117896,244
950,89.74110200734003,-15,2.6831946070117896,244
935,92.42429661435182,-15,2.6831946070117896,244
920,95.1074912213636,-15,2.6831946070117896,244
905,97.79068582837539,-15,2.6831946070117896,244
890,100.47388043538717,-15,2.6831946070117896,244
875,103.15707504239896,-15,2.6831946070117896,244
860,105.84026964941074,-15,2.6831946070117896,244
845,108.52346425642253,-15,2.6831946070117896,244
830,111.20665886343431,-15,2.6831946070117896,244
815,113.8898534704461,-15,2.6831946070117896,244
800,116.57304807745788,-15,2.6831946070117896,244
785,119.25624268446967,-15,2.6831946070117896,244
770,121.93943729148145,-15,2.6831946070117896,244
755,124.62263189849324,-15,2.6831946070117896,244
740,127.30582650550502,-15,2.6831946070117896,244
725,129.9890211125168,-15,2.6831946070117896,244
710,132.6722157195286,-15,2.6831946070117896,243
695,135.35541032654038,-15,2.6831946070117896,241
680,138.03860493355216,-15,2.6831946070117896,240
665,140.72179954056395,-15,2.6831946070117896,238
650,143.40499414757574,-15,2.6831946070117896,236
635,146.08818875458752,-15,2.6831946070117896,235
620,148.7713833615993,-15,2.6831946070117896,234
605,151.4545779686111,-15,2.6831946070117896,233
590,154.13777257562288,-15,2.6831946070117896,231
575,156.82096718263466,-15,2.6831946070117896,231
560,159.50416178964645,-15,2.6831946070117896,230
545,162.18735639665823,-15,2.6831946070117896,228
530,164.87055100367002,-15,2.6831946070117896,227
515,167.5537456106818,-15,2.6831946070117896,226
500,170.2369402176936,-15,2.6831946070117896,224
485,172.92013482470537,-15,2.6831946070117896,223
470,175.60332943171716,-15,2.6831946070117896,222
455,178.28652403872894,-15,2.6831946070117896,221
440,180.96971864574073,-15,2.6831946070117896,220
425,183.6529132527525,-15,2.6831946070117896,220
410,186.3361078597643,-15,2.6831946070117896,219
395,189.01930246677608,-15,2.6831946070117896,218
380,191.70249707378787,-15,2.6831946070117896,218
365,194.38569168079965,-15,2.6831946070117896,218
350,197.06888628781144,-15,2.6831946070117896,218
335,199.75208089482322,-15,2.6831946070117896,218
320,202.435275501835,-15,2.6831946070117896,218
305,205.1184701088468,-15,2.6831946070117896,218
290,207.80166471585858,-15,2.6831946070117896,218
275,210.48485932287036,-15,2.6831946070117896,218
260,213.16805392988215,-15,2.6831946070117896,218
245,215.85124853689393,-15,2.6831946070117896,218
230,218.53444314390572,-15,2.6831946070117896,218
215,221.2176377509175,-15,2.6831946070117896,218
200,223.9008323579293,-15,2.6831946070117896,218
185,226.58402696494107,-15,2.6831946070117896,218
170,229.26722157195286,-15,2.6831946070117896,218
155,231.95041617896464,-15,2.6831946070117896,218
140,234.63361078597643,-15,2.6831946070117896,218
125,237.31680539298821,-15,2.6831946070117896,218
110,240.0,-15,2.6831946070117896,218
95,242.68319460701179,-15,2.6831946070117896,218
80,245.36638921402357,-15,2.6831946070117896,218
65,248.04958382103536,-15,2.6831946070117896,218
50,250.73277842804714,-15,2.6831946070117896,218
50,250.73277842804714,15,-4.629302206092415,218
65,246.10347622195474,15,-4.629302206092415,218
80,241.47417401586233,15,-4.629302206092415,218
95,236.84487180976993,15,-4.629302206092415,218
110,232.21556960367752,15,-4.629302206092415,218
125,227.58626739758512,15,-4.629302206092415,218
140,222.9569651914927,15,-4.629302206092415,217
155,218.3276629854003,15,-4.629302206092415,216
170,213.6983607793079,15,-4.629302206092415,215
185,209.0690585732155,15,-4.629302206092415,212
200,204.4397563671231,15,-4.629302206092415,211
215,199.8104541610307,15,-4.629302206092415,209
230,195.1811519549383,15,-4.629302206092415,206
245,190.55184974884588,15,-4.629302206092415,205
260,185.92254754275348,15,-4.629302206092415,203
275,181.29324533666107,15,-4.629302206092415,202
290,176.66394313056867,15,-4.629302206092415,202
305,172.03464092447626,15,-4.629302206092415,202
320,167.40533871838386,15,-4.629302206092415,202
335,162.77603651229145,15,-4.629302206092415,202
350,158.14673430619905,15,-4.629302206092415,202
365,153.51743210010665,15,-4.629302206092415,202
380,148.88812989401424,15,-4.629302206092415,202
395,144.25882768792184,15,-4.629302206092415,202
410,139.62952548182943,15,-4.629302206092415,202
425,135.00022327573703,15,-4.629302206092415,202
440,130.37092106964462,15,-4.629302206092415,202
455,125.7416188635522,15,-4.629302206092415,202
470,121.11231665745979,15,-4.629302206092415,202
485,116.48301445136737,15,-4.629302206092415,202
500,111.85371224527495,15,-4.629302206092415,202
515,107.22441003918253,15,-4.629302206092415,202
530,102.59510783309011,15,-4.629302206092415,202
545,97.96580562699769,15,-4.629302206092415,202
560,93.33650342090527,15,-4.629302206092415,202
575,88.70720121481286,15,-4.629302206092415,202
590,84.07789900872044,15,-4.629302206092415,202
605,79.44859680262802,15,-4.629302206092415,202
620,74.8192945965356,15,-4.629302206092415,202
635,70.18999239044318,15,-4.629302206092415,202
650,65.56069018435076,15,-4.629302206092415,202
665,60.93138797825834,15,-4.629302206092415,202
680,56.302085772165924,15,-4.629302206092415,202
695,51.672783566073505,15,-4.629302206092415,202
710,47.04348135998109,15,-4.629302206092415,202
725,42.41417915388867,15,-4.629302206092415,202
740,37.78487694779625,15,-4.629302206092415,202
755,33.15557474170383,15,-4.629302206092415,202
770,28.526272535611415,15,-4.629302206092415,202
785,23.896970329519,15,-4.629302206092415,202
800,19.267668123426585,15,-4.629302206092415,202
800,19.267668123426585,15,4.629302206092415,202
815,23.896970329519,15,4.629302206092415,202
830,28.526272535611415,15,4.629302206092415,202
845,33.15557474170383,15,4.629302206092415,202
860,37.78487694779625,15,4.629302206092415,202
875,42.41417915388867,15,4.629302206092415,202
890,47.04348135998109,15,4.629302206092415,202
905,51.672783566073505,15,4.629302206092415,202
920,56.302085772165924,15,4.629302206092415,202
935,60.93138797825834,15,4.629302206092415,202
950,65.56069018435076,15,4.629302206092415,202
965,70.18999239044318,15,4.629302206092415,202
980,74.8192945965356,15,4.629302206092415,202
995,79.44859680262802,15,4.629302206092415,202
1010,84.07789900872044,15,4.629302206092415,202
1025,88.70720121481286,15,4.629302206092415,202
1040,93.33650342090527,15,4.629302206092415,202
1055,97.96580562699769,15,4.629302206092415,202
1070,102.59510783309011,15,4.629302206092415,202
1085,107.22441003918253,15,4.629302206092415,202
1100,111.85371224527495,15,4.629302206092415,202
1115,116.48301445136737,15,4.629302206092415,202
1130,121.11231665745979,15,4.629302206092415,202
1145,125.7416188635522,15,4.629302206092415,202
1160,130.37092106964462,15,4.629302206092415,202
1175,135.00022327573703,15,4.629302206092415,202
1190,139.62952548182943,15,4.629302206092415,202
1205,144.25882768792184,15,4.629302206092415,202
1220,148.88812989401424,15,4.629302206092415,202
1235,153.51743210010665,15,4.629302206092415,202
1250,158.14673430619905,15,4.629302206092415,202
1265,162.77603651229145,15,4.629302206092415,202
1280,167.40533871838386,15,4.629302206092415,202
1295,172.03464092447626,15,4.629302206092415,202
1310,176.66394313056867,15,4.629302206092415,202
1325,181.29324533666107,15,4.629302206092415,202
1325,181.29324533666107,-15,4.629302206092415,202
1310,185.92254754275348,-15,4.629302206092415,202
1295,190.55184974884588,-15,4.629302206092415,202
1280,195.1811519549383,-15,4.629302206092415,202
1265,199.8104541610307,-15,4.629302206092415,202
1250,204.4397563671231,-15,4.629302206092415,202
1235,209.0690585732155,-15,4.629302206092415,202
1220,213.6983607793079,-15,4.629302206092415,202
1205,218.3276629854003,-15,4.629302206092415,202
1190,222.9569651914927,-15,4.629302206092415,202
1175,227.58626739758512,-15,4.629302206092415,202
1160,232.21556960367752,-15,4.629302206092415,202
1145,236.84487180976993,-15,4.629302206092415,202
1130,241.47417401586233,-15,4.629302206092415,202
1115,246.10347622195474,-15,4.629302206092415,202
1100,250.73277842804714,-15,4.629302206092415,202
1085,255.36208063413955,-15,4.629302206092415,202
1070,259.99138284023195,-15,4.629302206092415,202
1055,264.62068504632435,-15,4.629302206092415,202
1040,269.24998725241676,-15,4.629302206092415,202
1025,273.87928945850916,-15,4.629302206092415,202
1010,278.50859166460157,-15,4.629302206092415,202
995,283.137893870694,-15,4.629302206092415,205
980,287.7671960767864,-15,4.629302206092415,210
965,292.3964982828788,-15,4.629302206092415,216
950,297.0258004889712,-15,4.629302206092415,223
935,301.6551026950636,-15,4.629302206092415,235
920,306.284404901156,-15,4.629302206092415,245
905,310.9137071072484,-15,4.629302206092415,254
890,315.5430093133408,-15,4.629302206092415,259
875,320.1723115194332,-15,4.629302206092415,264
860,324.8016137255256,-15,4.629302206092415,272
845,329.430915931618,-15,4.629302206092415,278
830,334.0602181377104,-15,4.629302206092415,287
815,338.6895203438028,-15,4.62
800,246.8764595312026,-15,-0.9011996400428206,252
785,245.9752598911598,-15,-0.9011996400428206,244
770,245.07406025111698,-15,-0.9011996400428206,238
755,244.17286061107416,-15,-0.9011996400428206,225
740,243.27166097103134,-15,-0.9011996400428206,208
725,242.37046133098852,-15,-0.9011996400428206,195
710,241.4692616909457,-15,-0.9011996400428206,184
695,240.56806205090288,-15,-0.9011996400428206,177
680,239.66686241086006,-15,-0.9011996400428206,159
665,238.76566277081724,-15,-0.9011996400428206,136
650,237.86446313077442,-15,-0.9011996400428206,119
635,236.9632634907316,-15,-0.9011996400428206,106
620,236.0620638506888,-15,-0.9011996400428206,101
605,235.16086421064597,-15,-0.9011996400428206,96
590,234.25966457060315,-15,-0.9011996400428206,94
575,233.35846493056033,-15,-0.9011996400428206,90
560,232.4572652905175,-15,-0.9011996400428206,87
545,231.5560656504747,-15,-0.9011996400428206,82
530,230.65486601043187,-15,-0.9011996400428206,78
515,229.75366637038906,-15,-0.9011996400428206,72
500,228.85246673034624,-15,-0.9011996400428206,70
485,227.95126709030342,-15,-0.9011996400428206,65
470,227.0500674502606,-15,-0.9011996400428206,54
455,226.14886781021778,-15,-0.9011996400428206,36
440,225.24766817017496,-15,-0.9011996400428206,10
425,224.34646853013214,-15,-0.9011996400428206,5
410,223.44526889008932,-15,-0.9011996400428206,5
395,222.5440692500465,-15,-0.9011996400428206,5
380,221.6428696100037,-15,-0.9011996400428206,5
365,220.74166996996087,-15,-0.9011996400428206,5
350,219.84047032991805,-15,-0.9011996400428206,5
335,218.93927068987523,-15,-0.9011996400428206,5
320,218.0380710498324,-15,-0.9011996400428206,5
305,217.1368714097896,-15,-0.9011996400428206,5
290,216.23567176974677,-15,-0.9011996400428206,5
275,215.33447212970395,-15,-0.9011996400428206,5
260,214.43327248966114,-15,-0.9011996400428206,5
245,213.53207284961832,-15,-0.9011996400428206,5
230,212.6308732095755,-15,-0.9011996400428206,5
215,211.72967356953268,-15,-0.9011996400428206,5
200,210.82847392948986,-15,-0.9011996400428206,5
185,209.92727428944704,-15,-0.9011996400428206,5
170,209.02607464940422,-15,-0.9011996400428206,5
155,208.1248750093614,-15,-0.9011996400428206,5
140,207.22367536931858,-15,-0.9011996400428206,5
125,206.32247572927577,-15,-0.9011996400428206,5
110,205.42127608923295,-15,-0.9011996400428206,5
95,204.52007644919013,-15,-0.9011996400428206,5
80,203.6188768091473,-15,-0.9011996400428206,5
65,202.7176771691045,-15,-0.9011996400428206,5
50,201.81647752906167,-15,-0.9011996400428206,5
35,200.91527788901885,-15,-0.9011996400428206,5
20,200.01407824897603,-15,-0.9011996400428206,5
5,199.11287860893322,-15,-0.9011996400428206,5
-10,198.2116789688904,-15,-0.9011996400428206,5
125,598.9484816141603,15,4.832909751928845,465
140,603.7813913660891,15,4.832909751928845,466
155,608.6143011180179,15,4.832909751928845,466
170,613.4472108699467,15,4.832909751928845,467
185,618.2801206218755,15,4.832909751928845,468
200,623.1130303738043,15,4.832909751928845,468
215,627.9459401257332,15,4.832909751928845,468
230,632.778849877662,15,4.832909751928845,468
230,632.778849877662,15,-4.832909751928845,468
245,627.9459401257332,15,-4.832909751928845,468
260,623.1130303738043,15,-4.832909751928845,468
275,618.2801206218755,15,-4.832909751928845,468
290,613.4472108699467,15,-4.832909751928845,468
305,608.6143011180179,15,-4.832909751928845,468
320,603.7813913660891,15,-4.832909751928845,468
335,598.9484816141603,15,-4.832909751928845,468
350,594.1155718622315,15,-4.832909751928845,468
365,589.2826621103027,15,-4.832909751928845,468
380,584.4497523583739,15,-4.832909751928845,468
395,579.6168426064451,15,-4.832909751928845,468
410,574.7839328545163,15,-4.832909751928845,468
425,569.9510231025874,15,-4.832909751928845,468
440,565.1181133506586,15,-4.832909751928845,468
455,560.2852035987298,15,-4.832909751928845,468
470,555.452293846801,15,-4.832909751928845,468
485,550.6193840948722,15,-4.832909751928845,468
500,545.7864743429434,15,-4.832909751928845,468
515,540.9535645910146,15,-4.832909751928845,468
530,536.1206548390858,15,-4.832909751928845,468
545,531.287745087157,15,-4.832909751928845,468
560,526.4548353352282,15,-4.832909751928845,468
575,521.6219255832993,15,-4.832909751928845,468
590,516.7890158313705,15,-4.832909751928845,468
605,511.95610607944167,15,-4.832909751928845,468
620,507.1231963275128,15,-4.832909751928845,468
635,502.29028657558393,15,-4.832909751928845,468
650,497.45737682365507,15,-4.832909751928845,468
665,492.6244670717262,15,-4.832909751928845,468
680,487.79155731979733,15,-4.832909751928845,468
695,482.95864756786847,15,-4.832909751928845,468
710,478.1257378159396,15,-4.832909751928845,468
725,473.29282806401073,15,-4.832909751928845,468
740,468.45991831208187,15,-4.832909751928845,468
755,463.627008560153,15,-4.832909751928845,468
770,458.79409880822413,15,-4.832909751928845,468
785,453.96118905629527,15,-4.832909751928845,462
800,449.1282793043664,15,-4.832909751928845,449
815,444.29536955243753,15,-4.832909751928845,442
830,439.46245980050867,15,-4.832909751928845,435
845,434.6295500485798,15,-4.832909751928845,428
860,429.79664029665093,15,-4.832909751928845,423
875,424.96373054472207,15,-4.832909751928845,416
890,420.1308207927932,15,-4.832909751928845,403
905,415.29791104086434,15,-4.832909751928845,393
920,410.46500128893547,15,-4.832909751928845,382
935,405.6320915370066,15,-4.832909751928845,376
950,400.79918178507774,15,-4.832909751928845,367
965,395.96627203314887,15,-4.832909751928845,345
980,391.13336228122,15,-4.832909751928845,326
995,386.30045252929114,15,-4.832909751928845,314
1010,381.46754277736227,15,-4.832909751928845,303
1025,376.6346330254334,15,-4.832909751928845,295
1040,371.80172327350454,15,-4.832909751928845,287
1055,366.96881352157567,15,-4.832909751928845,276
1070,362.1359037696468,15,-4.832909751928845,267
1085,357.30299401771794,15,-4.832909751928845,250
1100,352.47008426578907,15,-4.832909751928845,250
1115,347.6371745138602,15,-4.832909751928845,250
1130,342.80426476193134,15,-4.832909751928845,250
1145,337.97135501000247,15,-4.832909751928845,250
1160,333.1384452580736,15,-4.832909751928845,250
1175,328.30553550614474,15,-4.832909751928845,250
1190,323.47262575421587,15,-4.832909751928845,250
1205,318.639716002287,15,-4.832909751928845,250
1220,313.80680625035814,15,-4.832909751928845,250
1235,308.97389649842927,15,-4.832909751928845,250
1250,304.1409867465004,15,-4.832909751928845,250
1265,299.30807699457154,15,-4.832909751928845,250
1280,294.47516724264267,15,-4.832909751928845,250
1295,289.6422574907138,15,-4.832909751928845,250
1310,284.80934773878494,15,-4.832909751928845,250
1325,279.97643798685607,15,-4.832909751928845,250
1325,279.97643798685607,-15,-4.832909751928845,250
1310,275.1435282349272,-15,-4.832909751928845,250
1295,270.31061848299834,-15,-4.832909751928845,250
1280,265.47770873106947,-15,-4.832909751928845,250
1265,260.6447989791406,-15,-4.832909751928845,250
1250,255.81188922721176,-15,-4.832909751928845,250
1235,250.97897947528293,-15,-4.832909751928845,250
1220,246.1460697233541,-15,-4.832909751928845,250
1205,241.31315997142525,-15,-4.832909751928845,250
1190,236.4802502194964,-15,-4.832909751928845,250
1175,231.64734046756757,-15,-4.832909751928845,250
1160,226.81443071563874,-15,-4.832909751928845,250
1145,221.9815209637099,-15,-4.832909751928845,250
1130,217.14861121178106,-15,-4.832909751928845,250
1115,212.31570145985222,-15,-4.832909751928845,250
1100,207.48279170792338,-15,-4.832909751928845,250
1085,202.64988195599454,-15,-4.832909751928845,250
1070,197.8169722040657,-15,-4.832909751928845,250
1055,192.98406245213687,-15,-4.832909751928845,250
1040,188.15115270020803,-15,-4.832909751928845,250
1025,183.3182429482792,-15,-4.832909751928845,250
1010,178.48533319635035,-15,-4.832909751928845,250
995,173.65242344442152,-15,-4.832909751928845,250
980,168.81951369249268,-15,-4.832909751928845,250
965,163.98660394056384,-15,-4.832909751928845,250
950,159.153694188635,-15,-4.832909751928845,250
935,154.32078443670616,-15,-4.832909751928845,250
920,149.48787468477732,-15,-4.832909751928845,250
905,144.6549649328485,-15,-4.832909751928845,250
890,139.82205518091965,-15,-4.832909751928845,250
875,134.9891454289908,-15,-4.832909751928845,250
860,130.15623567706197,-15,-4.832909751928845,250
845,125.32332592513313,-15,-4.832909751928845,250
830,120.4904161732043,-15,-4.832909751928845,250
815,115.65750642127546,-15,-4.832909751928845,250
800,110.82459666934662,-15,-4.832909751928845,250
785,105.99168691741778,-15,-4.832909751928845,250
770,101.15877716548894,-15,-4.832909751928845,250
755,96.3258674135601,-15,-4.832909751928845,250
740,91.49295766163127,-15,-4.832909751928845,250
725,86.66004790970243,-15,-4.832909751928845,250
710,81.82713815777359,-15,-4.832909751928845,250
695,76.99422840584475,-15,-4.832909751928845,250
680,72.16131865391591,-15,-4.832909751928845,250
665,67.32840890198707,-15,-4.832909751928845,250
650,62.49549915005823,-15,-4.832909751928845,250
635,57.662589398129384,-15,-4.832909751928845,250
620,52.82967964620054,-15,-4.832909751928845,250
605,47.996769894271694,-15,-4.832909751928845,250
590,43.16386014234285,-15,-4.832909751928845,250
575,38.330950390414,-15,-4.832909751928845,250
560,33.49804063848516,-15,-4.832909751928845,250
545,28.665130886556312,-15,-4.832909751928845,250
530,23.832221134627467,-15,-4.832909751928845,250
515,18.99931138269862,-15,-4.832909751928845,250
515,18.99931138269862,-15,4.832909751928845,250
500,23.832221134627467,-15,4.832909751928845,250
485,28.665130886556312,-15,4.832909751928845,250
470,33.49804063848516,-15,4.832909751928845,250
455,38.330950390414,-15,4.832909751928845,250
440,43.16386014234285,-15,4.832909751928845,250
425,47.996769894271694,-15,4.832909751928845,214
410,52.82967964620054,-15,4.832909751928845,195
395,57.662589398129384,-15,4.832909751928845,184
380,62.49549915005823,-15,4.832909751928845,180
365,67.32840890198707,-15,4.832909751928845,172
350,72.16131865391591,-15,4.832909751928845,166
335,76.99422840584475,-15,4.832909751928845,162
320,81.82713815777359,-15,4.832909751928845,157
305,86.66004790970243,-15,4.832909751928845,155
290,91.49295766163127,-15,4.832909751928845,152
275,96.3258674135601,-15,4.832909751928845,151
260,101.15877716548894,-15,4.832909751928845,150
245,105.99168691741778,-15,4.832909751928845,149
230,110.82459666934662,-15,4.832909751928845,148
215,115.65750642127546,-15,4.832909751928845,147
200,120.4904161732043,-15,4.832909751928845,147
185,125.32332592513313,-15,4.832909751928845,147
170,130.15623567706197,-15,4.832909751928845,147
155,134.9891454289908,-15,4.832909751928845,147
140,139.82205518091965,-15,4.832909751928845,147
125,144.6549649328485,-15,4.832909751928845,147
110,149.48787468477732,-15,4.832909751928845,147
95,154.32078443670616,-15,4.832909751928845,147
80,159.153694188635,-15,4.832909751928845,147
65,163.98660394056384,-15,4.832909751928845,146
50,168.81951369249268,-15,4.832909751928845,145
50,168.81951369249268,15,-5.7572952599191884,144
65,163.0622184325735,15,-5.7572952599191884,142
80,157.30492317265433,15,-5.7572952599191884,134
95,151.54762791273515,15,-5.7572952599191884,128
110,145.79033265281598,15,-5.7572952599191884,120
125,140.0330373928968,15,-5.7572952599191884,117
140,134.27574213297763,15,-5.7572952599191884,114
155,128.51844687305845,15,-5.7572952599191884,113
170,122.76115161313926,15,-5.7572952599191884,112
185,117.00385635322007,15,-5.7572952599191884,111
200,111.24656109330088,15,-5.7572952599191884,111
215,105.4892658333817,15,-5.7572952599191884,111
230,99.7319705734625,15,-5.7572952599191884,111
245,93.97467531354332,15,-5.7572952599191884,111
260,88.21738005362413,15,-5.7572952599191884,111
275,82.46008479370494,15,-5.7572952599191884,111
290,76.70278953378575,15,-5.7572952599191884,111
305,70.94549427386656,15,-5.7572952599191884,111
320,65.18819901394737,15,-5.7572952599191884,111
335,59.43090375402818,15,-5.7572952599191884,111
350,53.67360849410899,15,-5.7572952599191884,111
365,47.9163132341898,15,-5.7572952599191884,111
380,42.15901797427061,15,-5.7572952599191884,111
395,36.40172271435142,15,-5.7572952599191884,111
